"","Race","Region","EDUC","Gender"
"70","White","South","Bachelors","Male"
"71","White","Midwest","Primary","Female"
"72","White","South","Professional","Male"
"73","Other","South","Secondary","Female"
"74","White","South","Bachelors","Male"
"75","White","South","Bachelors","Female"
"76","Other","Midwest","Masters","Female"
"77","White","South","Primary","Female"
"78","White","South","Secondary","Female"
"79","Black","South","Secondary","Male"
"80","White","South","Bachelors","Female"
"81","White","West","Secondary","Female"
"82","White","West","Secondary","Male"
"83","Other","South","Professional","Female"
"84","White","South","Masters","Female"
"85","White","Northeast","Secondary","Male"
"86","White","West","Secondary","Male"
"87","Hispanic","West","Secondary","Male"
"88","White","Northeast","Secondary","Male"
"89","Hispanic","West","Professional","Female"
"90","White","South","Secondary","Female"
"91","Black","South","Secondary","Male"
"92","White","Midwest","Masters","Female"
"93","Black","South","Bachelors","Female"
"94","White","Northeast","Secondary","Male"
"95","Black","South","Bachelors","Female"
"96","Other","West","Secondary","Male"
"97","White","Midwest","Secondary","Male"
"98","White","South","Primary","Female"
"99","White","Northeast","Secondary","Female"
"100","Other","Midwest","Secondary","Male"
"101","White","Midwest","Secondary","Female"
"102","Black","West","Professional","Male"
"103","White","Midwest","Secondary","Female"
"104","Asian/Pacific Islander","Northeast","Secondary","Male"
"105","Black","South","Secondary","Female"
"106","Black","Midwest","Bachelors","Male"
"107","Hispanic","West","Bachelors","Female"
"108","Hispanic","Midwest","Secondary","Female"
"109","White","West","Primary","Female"
"110","Hispanic","West","Secondary","Female"
"111","Black","South","Primary","Female"
"112","White","Midwest","Masters","Female"
"113","White","Northeast","Primary","Male"
"114","White","South","Primary","Female"
"115","White","West","Professional","Male"
"116","White","South","Primary","Male"
"117","White","Northeast","Bachelors","Female"
"118","White","Northeast","Bachelors","Female"
"119","Asian/Pacific Islander","West","Secondary","Male"
"120","White","Midwest","Bachelors","Male"
"121","White","South","Secondary","Female"
"122","White","Northeast","Professional","Female"
"123","White","Midwest","Secondary","Male"
"124","White","Midwest","Primary","Male"
"125","White","Midwest","Secondary","Female"
"126","White","South","Bachelors","Male"
"127","White","Midwest","Secondary","Male"
"128","White","West","Masters","Male"
"129","Black","West","Secondary","Female"
"130","White","South","Secondary","Male"
"131","Hispanic","West","Secondary","Female"
"132","White","South","Secondary","Female"
"133","Black","South","Secondary","Male"
"134","White","South","Secondary","Male"
"135","White","South","Secondary","Male"
"136","White","Midwest","Secondary","Female"
"137","White","Northeast","Bachelors","Female"
"138","Asian/Pacific Islander","Midwest","Secondary","Male"
"139","Black","Midwest","Primary","Female"
"140","White","South","Secondary","Female"
"141","White","South","Bachelors","Female"
"142","White","Northeast","Bachelors","Female"
"143","White","Midwest","Secondary","Female"
"144","Black","Midwest","Primary","Male"
"145","White","South","Professional","Male"
"146","Other","South","Primary","Male"
"147","White","Midwest","Masters","Female"
"148","Black","South","Masters","Male"
"149","White","South","Masters","Male"
"150","Hispanic","South","Secondary","Female"
"151","White","Northeast","Secondary","Male"
"152","Asian/Pacific Islander","West","Secondary","Female"
"153","White","Northeast","Professional","Female"
"154","Hispanic","West","Secondary","Female"
"155","White","Midwest","Secondary","Female"
"156","White","Northeast","Professional","Female"
"157","Black","South","Secondary","Female"
"158","Black","West","Secondary","Male"
"159","White","South","Professional","Male"
"160","Hispanic","West","Secondary","Female"
"161","White","Northeast","Masters","Female"
"162","Black","Northeast","Secondary","Male"
"163","White","Midwest","Bachelors","Female"
"164","White","West","Bachelors","Female"
"165","White","South","Bachelors","Male"
"166","White","Midwest","Secondary","Male"
"167","White","Midwest","Bachelors","Male"
"168","White","Midwest","Bachelors","Female"
"169","Hispanic","South","Secondary","Female"
"170","White","Midwest","Bachelors","Female"
"171","White","Northeast","Secondary","Male"
"172","White","Midwest","Secondary","Male"
"173","Hispanic","South","Primary","Female"
"174","White","South","Masters","Female"
"175","White","West","Bachelors","Male"
"176","White","Midwest","Professional","Male"
"177","White","Midwest","Bachelors","Female"
"178","Black","Midwest","Professional","Female"
"179","White","South","Bachelors","Male"
"180","Hispanic","West","Masters","Female"
"181","White","Midwest","Masters","Female"
"182","White","Midwest","Secondary","Male"
"183","Hispanic","West","Secondary","Male"
"184","White","West","Bachelors","Male"
"185","White","South","Professional","Female"
"186","Hispanic","Midwest","Masters","Female"
"187","Hispanic","West","Masters","Male"
"188","White","South","Masters","Male"
"189","White","Midwest","Bachelors","Male"
"190","Hispanic","West","Secondary","Female"
"191","White","Northeast","Secondary","Female"
"192","Black","Midwest","Secondary","Male"
"193","White","Northeast","Bachelors","Male"
"194","White","South","Secondary","Female"
"195","White","West","Secondary","Female"
"196","Hispanic","Midwest","Secondary","Female"
"197","White","South","Masters","Female"
"198","Asian/Pacific Islander","Northeast","Bachelors","Female"
"199","White","South","Secondary","Male"
"200","White","West","Secondary","Male"
"201","White","West","Secondary","Male"
"202","White","South","Bachelors","Female"
"203","White","Midwest","Primary","Male"
"204","White","West","Masters","Male"
"205","White","South","Secondary","Male"
"206","Hispanic","Northeast","Primary","Male"
"207","White","Midwest","Bachelors","Male"
"208","White","Midwest","Secondary","Male"
"209","Black","South","Masters","Female"
"210","Black","South","Masters","Female"
"211","White","West","Bachelors","Male"
"212","White","Midwest","Secondary","Male"
"213","White","Midwest","Professional","Male"
"214","Black","South","Professional","Female"
"215","Black","South","Secondary","Male"
"216","White","South","Bachelors","Male"
"217","White","West","Bachelors","Female"
"218","White","South","Primary","Male"
"219","Black","South","Secondary","Female"
"220","White","West","Primary","Male"
"221","Black","West","Secondary","Female"
"222","White","South","Secondary","Male"
"223","White","South","Masters","Female"
"224","White","South","Secondary","Female"
"225","White","Northeast","Secondary","Female"
"226","Black","South","Secondary","Female"
"227","Black","West","Professional","Male"
"228","White","Midwest","Secondary","Female"
"229","White","Northeast","Bachelors","Female"
"230","Hispanic","South","Professional","Female"
"231","White","South","Bachelors","Male"
"232","White","Midwest","Bachelors","Male"
"233","Black","West","Secondary","Male"
"234","White","South","Professional","Female"
"235","White","South","Professional","Female"
"236","White","Northeast","Bachelors","Female"
"237","White","Midwest","Secondary","Male"
"238","White","Midwest","Secondary","Male"
"239","Black","South","Secondary","Female"
"240","White","South","Bachelors","Female"
"241","Black","South","Secondary","Female"
"242","White","South","Secondary","Female"
"243","White","South","Masters","Female"
"244","Other","Midwest","Professional","Female"
"245","White","West","Secondary","Male"
"246","White","Northeast","Secondary","Female"
"247","Black","Midwest","Secondary","Male"
"248","Black","South","Primary","Female"
"249","White","South","Bachelors","Female"
"250","White","South","Secondary","Female"
"251","White","West","Bachelors","Male"
"252","Other","Midwest","Secondary","Male"
"253","White","South","Masters","Female"
"254","White","West","Bachelors","Female"
"255","White","Northeast","Masters","Female"
"256","White","South","Secondary","Male"
"257","White","Northeast","Secondary","Female"
"258","Black","Midwest","Secondary","Male"
"259","Hispanic","South","Secondary","Female"
"260","White","Midwest","Secondary","Female"
"261","White","West","Secondary","Female"
"262","White","Midwest","Bachelors","Female"
"263","White","Midwest","Professional","Female"
"264","Hispanic","South","Primary","Female"
"265","White","Midwest","Secondary","Female"
"266","White","Midwest","Secondary","Female"
"267","White","South","Secondary","Female"
"268","White","South","Secondary","Male"
"269","White","Northeast","Bachelors","Female"
"270","White","South","Secondary","Male"
"271","White","South","Secondary","Female"
"272","Black","Midwest","Secondary","Male"
"273","White","West","Secondary","Female"
"274","White","Midwest","Bachelors","Female"
"275","Hispanic","South","Bachelors","Male"
"276","White","South","Masters","Female"
"277","White","South","Professional","Female"
"278","White","Midwest","Primary","Male"
"279","White","West","Bachelors","Female"
"280","Hispanic","West","Secondary","Female"
"281","Other","West","Secondary","Male"
"282","White","South","Secondary","Female"
"283","Other","West","Secondary","Male"
"284","White","West","Secondary","Female"
"285","White","South","Bachelors","Male"
"286","White","South","Secondary","Male"
"287","Black","South","Secondary","Male"
"288","White","South","Professional","Female"
"289","Hispanic","South","Bachelors","Male"
"290","Other","Midwest","Secondary","Female"
"291","White","Midwest","Professional","Female"
"292","Black","South","Secondary","Male"
"293","White","South","Bachelors","Female"
"294","Other","South","Secondary","Female"
"295","White","West","Masters","Female"
"296","White","Midwest","Secondary","Female"
"297","White","West","Bachelors","Male"
"298","White","Northeast","Masters","Female"
"299","White","West","Bachelors","Male"
"300","Other","South","Secondary","Male"
"301","White","South","Masters","Male"
"302","Asian/Pacific Islander","South","Professional","Female"
"303","White","West","Secondary","Male"
"304","White","Northeast","Masters","Female"
"305","White","South","Masters","Male"
"306","White","Midwest","Primary","Female"
"307","Hispanic","South","Bachelors","Female"
"308","Hispanic","South","Bachelors","Female"
"309","White","Midwest","Professional","Female"
"310","White","South","Secondary","Female"
"311","White","Midwest","Secondary","Female"
"312","White","South","Secondary","Female"
"313","White","South","Bachelors","Female"
"314","White","South","Secondary","Male"
"315","Asian/Pacific Islander","South","Masters","Male"
"316","White","Northeast","Primary","Male"
"317","White","South","Secondary","Male"
"318","Hispanic","Midwest","Bachelors","Male"
"319","Black","South","Primary","Male"
"320","White","South","Secondary","Female"
"321","Black","South","Secondary","Male"
"322","White","South","Professional","Male"
"323","White","Midwest","Primary","Female"
"324","Asian/Pacific Islander","Midwest","Secondary","Female"
"325","Asian/Pacific Islander","West","Masters","Female"
"326","White","Midwest","Secondary","Female"
"327","White","South","Masters","Female"
"328","White","Midwest","Bachelors","Female"
"329","White","South","Bachelors","Female"
"330","Asian/Pacific Islander","South","Secondary","Female"
"331","White","South","Bachelors","Female"
"332","White","Northeast","Secondary","Male"
"333","White","Midwest","Bachelors","Male"
"334","White","West","Masters","Male"
"335","White","Midwest","Masters","Female"
"336","White","Midwest","Masters","Male"
"337","White","Northeast","Secondary","Female"
"338","Asian/Pacific Islander","South","Bachelors","Male"
"339","White","South","Primary","Female"
"340","White","South","Bachelors","Female"
"341","White","South","Bachelors","Male"
"342","White","South","Secondary","Female"
"343","White","West","Masters","Female"
"344","Black","South","Primary","Female"
"345","Other","Midwest","Professional","Female"
"346","White","Midwest","Bachelors","Female"
"347","Black","South","Masters","Male"
"348","White","Northeast","Masters","Female"
"349","White","Midwest","Bachelors","Female"
"350","Black","South","Masters","Male"
"351","Hispanic","South","Secondary","Male"
"352","Asian/Pacific Islander","South","Masters","Male"
"353","White","Midwest","Bachelors","Male"
"354","Black","Midwest","Bachelors","Male"
"355","White","South","Bachelors","Male"
"356","White","South","Secondary","Female"
"357","White","West","Bachelors","Male"
"358","Black","South","Secondary","Female"
"359","Hispanic","West","Bachelors","Female"
"360","White","South","Bachelors","Male"
"361","White","Midwest","Professional","Female"
"362","White","Midwest","Secondary","Female"
"363","White","Midwest","Bachelors","Male"
"364","White","Midwest","Secondary","Male"
"365","Other","West","Secondary","Female"
"366","White","West","Secondary","Female"
"367","White","Midwest","Bachelors","Male"
"368","White","West","Secondary","Female"
"369","Black","South","Primary","Female"
"370","White","South","Primary","Female"
"371","White","South","Masters","Male"
"372","White","South","Masters","Male"
"373","White","West","Professional","Female"
"374","Black","Midwest","Primary","Female"
"375","Other","Midwest","Primary","Male"
"376","White","South","Bachelors","Male"
"377","White","South","Bachelors","Female"
"378","White","Midwest","Bachelors","Male"
"379","White","Midwest","Masters","Male"
"380","Hispanic","South","Bachelors","Female"
"381","Black","South","Secondary","Female"
"382","Other","South","Secondary","Female"
"383","Black","South","Secondary","Male"
"384","White","Midwest","Secondary","Male"
"385","Hispanic","Midwest","Professional","Female"
"386","Hispanic","Midwest","Secondary","Female"
"387","Black","South","Secondary","Male"
"388","Asian/Pacific Islander","South","Masters","Male"
"389","Hispanic","South","Secondary","Male"
"390","White","Midwest","Secondary","Male"
"391","Hispanic","Midwest","Primary","Female"
"392","Black","South","Secondary","Female"
"393","Other","Midwest","Primary","Female"
"394","White","South","Primary","Female"
"395","Other","South","Primary","Female"
"396","Hispanic","Midwest","Secondary","Male"
"397","White","Midwest","Secondary","Male"
"398","White","South","Secondary","Female"
"399","White","Midwest","Secondary","Female"
"400","White","Midwest","Bachelors","Female"
"401","White","West","Professional","Male"
"402","White","South","Secondary","Male"
"403","Other","South","Secondary","Male"
"404","Other","South","Secondary","Female"
"405","Hispanic","West","Secondary","Female"
"406","White","South","Bachelors","Male"
"407","Other","South","Primary","Female"
"408","White","South","Secondary","Female"
"409","White","South","Professional","Male"
"410","White","Northeast","Secondary","Male"
"411","Hispanic","Midwest","Primary","Male"
"412","White","South","Masters","Female"
"413","White","South","Primary","Male"
"414","White","West","Bachelors","Male"
"415","Hispanic","Midwest","Bachelors","Female"
"416","White","South","Secondary","Female"
"417","White","Midwest","Secondary","Male"
"418","White","South","Bachelors","Female"
"419","White","Midwest","Professional","Male"
"420","White","South","Secondary","Male"
"421","White","Midwest","Secondary","Female"
"422","Black","Midwest","Secondary","Male"
"423","Hispanic","South","Secondary","Female"
"424","White","West","Bachelors","Male"
"425","Black","South","Secondary","Female"
"426","White","Midwest","Secondary","Male"
"427","White","Midwest","Masters","Female"
"428","Hispanic","South","Secondary","Male"
"429","White","South","Secondary","Female"
"430","White","Midwest","Secondary","Female"
"431","White","Northeast","Secondary","Female"
"432","White","West","Bachelors","Female"
"433","Other","West","Secondary","Female"
"434","White","Midwest","Bachelors","Male"
"435","White","Midwest","Secondary","Female"
"436","White","Northeast","Secondary","Male"
"437","Asian/Pacific Islander","Midwest","Professional","Male"
"438","White","South","Secondary","Female"
"439","Hispanic","Midwest","Professional","Female"
"440","Black","West","Professional","Female"
"441","White","Midwest","Primary","Female"
"442","White","Midwest","Bachelors","Female"
"443","Black","South","Secondary","Female"
"444","White","Midwest","Professional","Male"
"445","Hispanic","South","Primary","Male"
"446","White","Midwest","Secondary","Female"
"447","White","West","Bachelors","Female"
"448","Hispanic","West","Secondary","Female"
"449","White","South","Professional","Male"
"450","White","South","Bachelors","Female"
"451","Black","South","Secondary","Male"
"452","Black","Midwest","Primary","Female"
"453","White","Northeast","Secondary","Female"
"454","White","South","Professional","Female"
"455","Other","South","Secondary","Female"
"456","White","Northeast","Bachelors","Female"
"457","Hispanic","South","Bachelors","Female"
"458","Black","South","Secondary","Male"
"459","White","Midwest","Bachelors","Female"
"460","White","Midwest","Secondary","Female"
"461","Black","Midwest","Bachelors","Male"
"462","Other","Northeast",NA,"Female"
"463","White","Northeast","Secondary","Male"
"464","White","West","Secondary","Female"
"465","White","South","Professional","Male"
"466","White","South","Secondary","Male"
"467","Other","South","Primary","Male"
"468","White","South","Masters","Male"
"469","White","Northeast","Masters","Female"
"470","Other","Midwest","Professional","Male"
"471","White","South","Primary","Male"
"472","White","South","Professional","Male"
"473","White","Midwest","Secondary","Female"
"474","Hispanic","South","Secondary","Female"
"475","White","South","Masters","Female"
"476","White","Midwest","Bachelors","Male"
"477","Black","South","Masters","Female"
"478","White","Northeast","Professional","Female"
"479","Black","South","Primary","Male"
"480","White","West","Secondary","Male"
"481","Hispanic","South","Bachelors","Female"
"482","White","West","Secondary","Male"
"483","White","South","Secondary","Female"
"484","Black","South","Primary","Female"
"485","White","South","Masters","Male"
"486","Hispanic","Midwest","Secondary","Female"
"487","White","Northeast","Secondary","Female"
"488","White","South","Secondary","Female"
"489","White","South","Secondary","Female"
"490","Black","South","Secondary","Male"
"491","White","West","Secondary","Male"
"492","Black","South","Secondary","Female"
"493","White","Northeast","Bachelors","Male"
"494","White","Midwest","Secondary","Female"
"495","Black","South","Secondary","Female"
"496","White","Northeast","Bachelors","Female"
"497","Black","South","Primary","Male"
"498","Hispanic","Midwest","Secondary","Male"
"499","White","South","Bachelors","Female"
"500","White","South","Bachelors","Male"
"501","Asian/Pacific Islander","West","Bachelors","Female"
"502","Hispanic","South","Secondary","Female"
"503","Hispanic","Midwest","Masters","Female"
"504","White","Midwest","Masters","Female"
"505","Hispanic","West","Professional","Male"
"506","White","West","Secondary","Female"
"507","Asian/Pacific Islander","South","Professional","Female"
"508","White","South","Secondary","Female"
"509","White","South","Bachelors","Male"
"510","White","Midwest","Masters","Female"
"511","Hispanic","West","Primary","Female"
"512","White","Northeast","Secondary","Male"
"513","White","Northeast","Primary","Male"
"514","White","Midwest","Professional","Male"
"515","White","Midwest","Bachelors","Male"
"516","Black","South","Secondary","Male"
"517","Black","South","Professional","Female"
"518","White","South","Masters","Male"
"519","White","South","Professional","Female"
"520","White","Northeast","Professional","Female"
"521","White","South","Primary","Male"
"522","Asian/Pacific Islander","Midwest","Secondary","Male"
"523","White","Midwest","Professional","Male"
"524","Asian/Pacific Islander","West","Bachelors","Female"
"525","Hispanic","South","Secondary","Male"
"526","Hispanic","South","Secondary","Male"
"527","Black","South","Secondary","Male"
"528","Asian/Pacific Islander","South","Secondary","Male"
"529","Asian/Pacific Islander","West","Secondary","Male"
"530","White","Midwest","Professional","Female"
"531","Hispanic","Northeast","Secondary","Female"
"532","White","Northeast","Professional","Female"
"533","White","South","Professional","Male"
"534","Asian/Pacific Islander","South","Bachelors","Female"
"535","Other","Northeast","Secondary","Male"
"536","Black","South","Primary","Female"
"537","White","West","Secondary","Female"
"538","Black","South","Secondary","Female"
"539","White","Midwest","Masters","Male"
"540","White","South","Primary","Male"
"541","White","Northeast","Bachelors","Female"
"542","White","South","Masters","Female"
"543","White","Midwest","Professional","Male"
"544","White","Northeast","Bachelors","Male"
"545","White","South","Masters","Female"
"546","White","Northeast","Bachelors","Female"
"547","White","South","Bachelors","Male"
"548","White","South","Bachelors","Male"
"549","Hispanic","West","Secondary","Female"
"550","White","Midwest","Primary","Female"
"551","Hispanic","West","Secondary","Female"
"552","White","Midwest","Bachelors","Male"
"553","White","South","Secondary","Female"
"554","White","Midwest","Secondary","Female"
"555","White","Midwest","Professional","Female"
"556","Asian/Pacific Islander","Midwest","Bachelors","Male"
"557","White","South","Primary","Male"
"558","Black","South","Bachelors","Male"
"559","White","Midwest","Professional","Female"
"560","Asian/Pacific Islander","Midwest","Bachelors","Female"
"561","Asian/Pacific Islander","West","Masters","Female"
"562","White","South","Bachelors","Female"
"563","White","Midwest","Secondary","Male"
"564","White","South","Secondary","Male"
"565","Black","South","Masters","Female"
"566","White","Midwest","Professional","Male"
"567","White","South","Secondary","Female"
"568","Hispanic","South","Secondary","Female"
"569","White","Northeast","Secondary","Female"
"570","White","Midwest","Bachelors","Male"
"571","Black","South","Secondary","Male"
"572","Black","South","Secondary","Male"
"573","White","Midwest","Professional","Female"
"574","White","Midwest","Bachelors","Female"
"575",NA,"South",NA,NA
"576","White","West","Secondary","Male"
"577","Black","South","Secondary","Male"
"578","White","Midwest","Secondary","Male"
"579","White","West","Secondary","Male"
"580","White","Northeast","Secondary","Female"
"581","Black","South","Bachelors","Female"
"582","Hispanic","Northeast","Secondary","Female"
"583","White","Midwest","Secondary","Male"
"584","White","Midwest","Professional","Male"
"585","White","South","Bachelors","Male"
"586","Asian/Pacific Islander","West","Secondary","Male"
"587","Hispanic","Midwest","Secondary","Female"
"588","White","Midwest","Secondary","Female"
"589","White","Midwest","Bachelors","Male"
"590","White","Midwest","Secondary","Male"
"591","White","South","Secondary","Male"
"592","White","South","Masters","Male"
"593","Hispanic","South","Secondary","Female"
"594","Black","South","Bachelors","Male"
"595","White","Midwest","Secondary","Female"
"596","White","Northeast","Bachelors","Male"
"597","White","Midwest","Secondary","Female"
"598","Asian/Pacific Islander","Northeast","Professional","Male"
"599","Black","South","Secondary","Male"
"600","White","Midwest","Professional","Male"
"601","Black","South","Bachelors","Female"
"602","White","Midwest","Secondary","Male"
"603","White","Midwest","Secondary","Female"
"604","Asian/Pacific Islander","South","Secondary","Male"
"605","White","Midwest","Secondary","Female"
"606","White","South","Secondary","Female"
"607","Black","South","Secondary","Male"
"608","White","Midwest","Secondary","Male"
"609","Black","West","Secondary","Male"
"610","White","West","Secondary","Female"
"611","Hispanic","West","Secondary","Male"
"612","Black","South","Secondary","Female"
"613","White","West","Masters","Male"
"614","White","South","Bachelors","Male"
"615","Asian/Pacific Islander","Northeast","Masters","Male"
"616","White","Midwest","Secondary","Female"
"617","White","West","Primary","Female"
"618","White","West","Secondary","Female"
"619","White","South","Secondary","Male"
"620","Other","South","Professional","Female"
"621","Hispanic","South","Primary","Female"
"622","White","Northeast","Secondary","Female"
"623","White","South","Bachelors","Female"
"624","Black","South","Bachelors","Male"
"625","White","South","Primary","Male"
"626","White","Northeast","Secondary","Female"
"627","White","South","Masters","Female"
"628","Asian/Pacific Islander","Northeast","Secondary","Male"
"629","White","Northeast","Bachelors","Male"
"630","White","Midwest","Bachelors","Male"
"631","Hispanic","West","Bachelors","Female"
"632","Black","Midwest","Secondary","Female"
"633","Hispanic","West","Secondary","Male"
"634","White","South","Bachelors","Female"
"635","Black","South","Secondary","Female"
"636","Black","Midwest","Secondary","Female"
"637","White","Northeast","Secondary","Female"
"638","White","Northeast","Masters","Female"
"639","White","Midwest","Bachelors","Female"
"640","White","Northeast","Bachelors","Female"
"641","Asian/Pacific Islander","West","Professional","Female"
"642","White","Midwest","Professional","Female"
"643","White","South","Professional","Female"
"644","Hispanic","South","Secondary","Female"
"645","White","West","Masters","Female"
"646","Black","South","Secondary","Male"
"647","Other","South","Secondary","Female"
"648","White","Midwest","Professional","Male"
"649","White","West","Masters","Male"
"650","White","West","Secondary","Female"
"651","Hispanic","South","Bachelors","Male"
"652","White","West","Secondary","Male"
"653","Black","South","Masters","Male"
"654","Hispanic","Midwest","Bachelors","Male"
"655","White","Midwest","Secondary","Male"
"656","Black","South","Primary","Female"
"657","White","South","Bachelors","Female"
"658","White","West","Primary","Male"
"659","Hispanic","South","Masters","Male"
"660","Black","South","Secondary","Male"
"661","White","West","Bachelors","Female"
"662","White","Northeast","Bachelors","Female"
"663","White","Midwest","Secondary","Female"
"664","Hispanic","West","Primary","Female"
"665","Black","Northeast","Secondary","Female"
"666","Hispanic","South","Primary","Female"
"667","White","Northeast","Professional","Female"
"668","Hispanic","Midwest","Professional","Female"
"669","White","Midwest","Bachelors","Male"
"670","Hispanic","South","Primary","Female"
"671","White","Northeast","Masters","Female"
"672","Hispanic","South","Professional","Male"
"673","White","Midwest","Bachelors","Male"
"674","White","South","Bachelors","Male"
"675","White","Midwest","Secondary","Female"
"676","White","South","Primary","Male"
"677","White","Midwest","Masters","Female"
"678","Other","Midwest","Secondary","Male"
"679","White","South","Secondary","Male"
"680","White","West","Secondary","Male"
"681","White","West","Masters","Female"
"682","White","Midwest","Bachelors","Female"
"683","White","Midwest","Secondary","Female"
"684","White","Midwest","Secondary","Male"
"685","White","Midwest","Secondary","Female"
"686","White","Midwest","Secondary","Female"
"687","Asian/Pacific Islander","West","Bachelors","Male"
"688","Black","Midwest","Primary","Male"
"689","White","Northeast","Primary","Female"
"690","White","South","Secondary","Female"
"691","White","West","Secondary","Female"
"692","Hispanic","West","Professional","Male"
"693","White","South","Bachelors","Female"
"694","White","South","Bachelors","Female"
"695","White","South","Secondary","Male"
"696","Hispanic","South","Secondary","Male"
"697","Black","South","Secondary","Female"
"698","Asian/Pacific Islander","West","Masters","Male"
"699","White","South","Masters","Female"
"700","White","Northeast","Professional","Male"
"701","Asian/Pacific Islander","Midwest","Professional","Male"
"702","White","West","Secondary","Female"
"703","White","West","Secondary","Male"
"704","White","South","Secondary","Female"
"705","White","South","Secondary","Male"
"706","White","Midwest","Secondary","Female"
"707","White","South","Secondary","Female"
"708","White","South","Masters","Female"
"709","White","South","Bachelors","Male"
"710","White","Northeast","Professional","Female"
"711","Hispanic","South","Secondary","Female"
"712","Hispanic","Midwest","Secondary","Female"
"713","Asian/Pacific Islander","Northeast","Bachelors","Female"
"714","Asian/Pacific Islander","West","Bachelors","Male"
"715","Hispanic","South","Bachelors","Male"
"716","White","South","Masters","Female"
"717","White","Midwest","Secondary","Male"
"718","Black","South","Secondary","Male"
"719","White","South","Primary","Male"
"720","Black","South","Professional","Male"
"721","White","South","Secondary","Female"
"722","White","South","Bachelors","Male"
"723","White","South","Secondary","Male"
"724","White","South","Secondary","Female"
"725","Black","South","Bachelors","Female"
"726","White","West","Primary","Female"
"727","Hispanic","South","Primary","Male"
"728","White","Midwest","Secondary","Male"
"729","Hispanic","South","Primary","Female"
"730","White","Midwest","Secondary","Female"
"731","Asian/Pacific Islander","West","Bachelors","Male"
"732","Hispanic","Midwest","Secondary","Female"
"733","White","South","Secondary","Female"
"734","White","South","Bachelors","Male"
"735","White","South","Secondary","Female"
"736","Hispanic","West","Secondary","Female"
"737","White","Northeast","Primary","Female"
"738","Black","South","Primary","Male"
"739","White","Midwest","Secondary","Female"
"740","White","Midwest","Professional","Female"
"741","White","South","Primary","Female"
"742","White","Northeast","Professional","Male"
"743","Asian/Pacific Islander","West","Masters","Male"
"744","Hispanic","West","Primary","Female"
"745","Hispanic","South","Bachelors","Female"
"746","White","South","Professional","Female"
"747","White","Midwest","Masters","Female"
"748","White","South","Bachelors","Female"
"749","White","Midwest","Bachelors","Male"
"750","Black","Northeast","Secondary","Male"
"751","White","Northeast","Bachelors","Female"
"752","White","South","Secondary","Male"
"753","Black","South","Primary","Female"
"754","White","Midwest","Secondary","Female"
"755","White","Midwest","Secondary","Female"
"756","White","South","Masters","Female"
"757","Black","South","Secondary","Male"
"758","White","Midwest","Professional","Female"
"759","White","South","Masters","Male"
"760","White","Northeast","Bachelors","Female"
"761","White","Midwest","Bachelors","Female"
"762","Hispanic","West","Primary","Male"
"763","White","South","Secondary","Male"
"764","Hispanic","South","Primary","Male"
"765","White","Midwest","Secondary","Female"
"766","Black","South","Professional","Female"
"767","White","South","Secondary","Male"
"768","White","South","Secondary","Female"
"769","White","West","Secondary","Male"
"770","Hispanic","South","Masters","Female"
"771","White","Midwest","Secondary","Female"
"772","White","West","Secondary","Female"
"773","White","South","Bachelors","Female"
"774","White","South","Professional","Male"
"775","White","South","Secondary","Male"
"776","White","Northeast","Primary","Male"
"777","Black","Midwest","Professional","Female"
"778","Hispanic","South","Secondary","Male"
"779","White","South","Secondary","Female"
"780","Black","South","Masters","Male"
"781","Black","South","Secondary","Female"
"782","Black","South","Secondary","Male"
"783","White","South","Masters","Female"
"784","Hispanic","West","Primary","Female"
"785","White","South","Secondary","Female"
"786","White","Midwest","Secondary","Female"
"787","White","Northeast","Secondary","Female"
"788","White","South","Masters","Male"
"789","White","Midwest","Secondary","Female"
"790","White","South","Primary","Male"
"791","Black","South","Professional","Female"
"792","White","West","Secondary","Male"
"793","White","West","Secondary","Female"
"794","White","West","Secondary","Male"
"795","White","Midwest","Secondary","Female"
"796","Black","South","Primary","Male"
"797","White","West","Secondary","Male"
"798","Other","Midwest","Secondary","Female"
"799","Asian/Pacific Islander","Northeast","Bachelors","Male"
"800","White","South","Masters","Male"
"801","Hispanic","Midwest","Secondary","Female"
"802","Black","West","Bachelors","Female"
"803","White","Midwest","Masters","Male"
"804","White","South","Secondary","Male"
"805","White","Midwest","Secondary","Male"
"806","White","West","Bachelors","Female"
"807","White","Midwest","Masters","Male"
"808","Other","Midwest","Professional","Female"
"809","White","Midwest","Masters","Male"
"810","White","Midwest","Secondary","Male"
"811","White","Midwest","Secondary","Male"
"812","White","South","Secondary","Male"
"813","Asian/Pacific Islander","West","Secondary","Male"
"814","White","Midwest","Masters","Female"
"815","Black","South","Masters","Female"
"816","Black","South","Primary","Female"
"817","Black","Midwest","Secondary","Male"
"818","White","South","Secondary","Female"
"819","Hispanic","Northeast","Secondary","Female"
"820","White","West","Masters","Male"
"821","White","Northeast","Bachelors","Male"
"822","Asian/Pacific Islander","West","Secondary","Male"
"823","White","West","Primary","Female"
"824","Hispanic","South","Primary","Male"
"825","White","West","Bachelors","Male"
"826","White","Midwest","Secondary","Female"
"827","White","South","Bachelors","Male"
"828","White","South","Professional","Female"
"829","White","South","Secondary","Male"
"830","Black","West","Primary","Male"
"831","White","South","Professional","Female"
"832","Hispanic","South","Bachelors","Female"
"833","White","Midwest","Masters","Female"
"834","White","Midwest","Secondary","Male"
